,p,251
,a,3
,b,7
,count,280
x,y,z
0,1,0
0,42,1
0,209,1
2,71,1
2,180,1
4,121,1
4,130,1
5,30,1
5,221,1
6,50,1
6,201,1
8,36,1
8,215,1
15,72,1
15,179,1
16,117,1
16,134,1
20,81,1
20,170,1
22,44,1
22,207,1
23,114,1
23,137,1
26,51,1
26,200,1
30,95,1
30,156,1
31,111,1
31,140,1
32,50,1
32,201,1
35,98,1
35,153,1
36,33,1
36,218,1
37,123,1
37,128,1
39,61,1
39,190,1
40,97,1
40,154,1
45,107,1
45,144,1
46,120,1
46,131,1
48,110,1
48,141,1
49,109,1
49,142,1
52,100,1
52,151,1
54,16,1
54,235,1
56,51,1
56,200,1
58,39,1
58,212,1
59,112,1
59,139,1
61,4,1
61,247,1
64,53,1
64,198,1
65,22,1
65,229,1
67,111,1
67,140,1
68,89,1
68,162,1
69,72,1
69,179,1
70,10,1
70,241,1
71,74,1
71,177,1
74,29,1
74,222,1
78,34,1
78,217,1
79,90,1
79,161,1
80,61,1
80,190,1
81,18,1
81,233,1
82,26,1
82,225,1
84,58,1
84,193,1
85,21,1
85,230,1
86,6,1
86,245,1
87,30,1
87,221,1
88,23,1
88,228,1
90,97,1
90,154,1
92,108,1
92,143,1
94,125,1
94,126,1
95,0,1
96,16,1
96,235,1
97,109,1
97,142,1
98,69,1
98,182,1
99,57,1
99,194,1
101,16,1
101,235,1
103,38,1
103,213,1
104,47,1
104,204,1
105,109,1
105,142,1
107,95,1
107,156,1
108,104,1
108,147,1
111,71,1
111,180,1
112,115,1
112,136,1
114,95,1
114,156,1
116,28,1
116,223,1
117,66,1
117,185,1
119,73,1
119,178,1
120,105,1
120,146,1
121,97,1
121,154,1
124,77,1
124,174,1
125,15,1
125,236,1
132,61,1
132,190,1
133,13,1
133,238,1
137,5,1
137,246,1
138,71,1
138,180,1
139,43,1
139,208,1
141,105,1
141,146,1
144,5,1
144,246,1
146,92,1
146,159,1
147,8,1
147,243,1
150,3,1
150,248,1
152,84,1
152,167,1
153,111,1
153,140,1
154,92,1
154,159,1
155,3,1
155,248,1
159,30,1
159,221,1
162,9,1
162,242,1
164,108,1
164,143,1
166,122,1
166,129,1
167,72,1
167,179,1
168,0,1
169,51,1
169,200,1
170,106,1
170,145,1
171,73,1
171,178,1
172,85,1
172,166,1
173,102,1
173,149,1
174,125,1
174,126,1
176,66,1
176,185,1
179,28,1
179,223,1
180,78,1
180,173,1
182,58,1
182,193,1
183,80,1
183,171,1
184,69,1
184,182,1
187,79,1
187,172,1
189,52,1
189,199,1
190,91,1
190,160,1
191,38,1
191,213,1
192,32,1
192,219,1
195,26,1
195,225,1
196,70,1
196,181,1
197,3,1
197,248,1
198,124,1
198,127,1
200,22,1
200,229,1
201,68,1
201,183,1
202,92,1
202,159,1
204,31,1
204,220,1
207,28,1
207,223,1
208,38,1
208,213,1
209,66,1
209,185,1
212,73,1
212,178,1
213,50,1
213,201,1
214,14,1
214,237,1
215,96,1
215,155,1
218,93,1
218,158,1
220,69,1
220,182,1
221,5,1
221,246,1
225,26,1
225,225,1
229,60,1
229,191,1
230,35,1
230,216,1
232,118,1
232,133,1
234,125,1
234,126,1
236,58,1
236,193,1
237,22,1
237,229,1
239,0,1
240,20,1
240,231,1
241,105,1
241,146,1
242,2,1
242,249,1
246,108,1
246,143,1
248,67,1
248,184,1
250,76,1
250,175,1
